Date,Open,High,Low,Close,Volume
09/19/2023,"1,574.00","1,575.60","1,570.00","1,574.00","2,391"
09/18/2023,"1,575.50","1,575.60","1,574.00","1,575.00","1,835"
09/15/2023,"1,569.00","1,575.60","1,561.01","1,575.50","2,203"
09/14/2023,"1,574.00","1,574.00","1,560.21","1,569.00","2,948"
09/13/2023,"1,575.00","1,575.00","1,570.00","1,570.00","1,502"
09/12/2023,"1,575.50","1,575.60","1,570.00","1,575.00","1,027"
09/11/2023,"1,575.60","1,575.60","1,570.00","1,575.50","1,567"
09/08/2023,"1,575.60","1,575.60","1,575.50","1,575.59","1,822"
09/07/2023,"1,575.60","1,575.60","1,565.00","1,575.59","583"
09/06/2023,"1,575.00","1,575.60","1,570.00","1,570.00","2,495"
09/05/2023,"1,575.60","1,575.60","1,575.00","1,575.59","1,844"
09/04/2023,"1,575.60","1,575.60","1,560.00","1,575.10","2,413"
09/01/2023,"1,575.49","1,575.60","1,573.00","1,575.60","2,513"
08/31/2023,"1,575.60","1,575.60","1,560.00","1,573.00","3,532"
08/29/2023,"1,571.00","1,575.60","1,571.00","1,575.60","2,088"
08/28/2023,"1,572.00","1,574.95","1,560.00","1,569.00","1,033"
08/25/2023,"1,575.47","1,575.60","1,560.00","1,572.00","2,778"
08/24/2023,"1,575.60","1,575.60","1,573.00","1,575.47","629"
08/23/2023,"1,575.58","1,575.60","1,560.01","1,575.60","735"
08/22/2023,"1,575.60","1,575.60","1,567.02","1,575.58","1,141"
08/21/2023,"1,575.60","1,575.60","1,565.00","1,575.59","3,981"
08/18/2023,"1,567.00","1,575.60","1,567.00","1,575.50","994"
08/17/2023,"1,568.90","1,572.50","1,562.00","1,566.10","930"
08/16/2023,"1,568.96","1,569.00","1,560.15","1,568.00","361"
08/15/2023,"1,569.00","1,569.00","1,560.08","1,568.96","1,543"
08/14/2023,"1,565.90","1,567.00","1,560.05","1,567.00","341"
08/11/2023,"1,566.00","1,568.99","1,560.00","1,565.90","1,429"
08/10/2023,"1,561.00","1,568.99","1,560.00","1,566.51","5,451"
08/09/2023,"1,566.99","1,568.45","1,560.00","1,567.90","2,381"
08/08/2023,"1,566.89","1,567.00","1,560.00","1,566.85","601"
08/07/2023,"1,567.00","1,568.00","1,560.00","1,566.89","1,490"
08/04/2023,"1,566.00","1,568.00","1,560.00","1,567.00","1,139"
08/03/2023,"1,560.00","1,567.00","1,560.00","1,566.00","7,465"
08/02/2023,"1,567.00","1,567.97","1,560.00","1,567.00","759"
08/01/2023,"1,565.00","1,567.97","1,560.00","1,567.94","7,537"
07/31/2023,"1,569.00","1,569.00","1,560.00","1,568.55","1,381"
07/28/2023,"1,569.94","1,570.00","1,563.00","1,569.00","538"
07/27/2023,"1,560.05","1,569.90","1,560.00","1,569.90","1,372"
07/26/2023,"1,567.45","1,567.96","1,560.00","1,560.04","13,967"
07/25/2023,"1,565.00","1,567.45","1,560.00","1,567.45","1,365"
07/24/2023,"1,570.00","1,570.00","1,560.00","1,565.00","4,742"
07/21/2023,"1,570.00","1,570.00","1,561.00","1,570.00","518"
07/20/2023,"1,570.00","1,570.00","1,560.03","1,570.00","806"
07/19/2023,"1,567.00","1,570.00","1,560.03","1,569.99","2,192"
07/18/2023,"1,562.00","1,567.99","1,560.01","1,566.00","782"
07/17/2023,"1,567.96","1,567.99","1,561.00","1,562.00","567"
07/14/2023,"1,567.00","1,569.99","1,561.00","1,567.76","2,093"
07/13/2023,"1,563.00","1,569.94","1,562.00","1,567.00","548"
07/12/2023,"1,566.03","1,575.69","1,562.00","1,563.00","1,601"
07/11/2023,"1,566.00","1,566.03","1,563.00","1,563.04","1,327"
07/10/2023,"1,570.00","1,575.85","1,564.05","1,566.00","900"
07/05/2023,"1,576.43","1,576.43","1,563.13","1,575.79","671"
07/04/2023,"1,570.00","1,574.98","1,562.00","1,574.98","772"
07/03/2023,"1,576.60","1,576.60","1,561.00","1,570.01","3,330"
06/30/2023,"1,574.00","1,576.61","1,561.01","1,573.93","3,367"
06/29/2023,"1,576.60","1,576.61","1,561.09","1,574.00","1,718"
06/27/2023,"1,576.61","1,576.61","1,561.00","1,576.60","3,141"
06/26/2023,"1,564.00","1,573.00","1,561.00","1,571.99","3,532"
06/23/2023,"1,568.00","1,568.00","1,561.00","1,564.00","607"
06/22/2023,"1,562.00","1,570.00","1,561.00","1,567.97","1,445"
06/21/2023,"1,561.00","1,570.00","1,561.00","1,561.11","2,054"
06/20/2023,"1,572.96","1,572.96","1,563.00","1,563.70","323"
06/19/2023,"1,573.00","1,573.00","1,564.00","1,566.02","1,346"
06/16/2023,"1,573.00","1,578.63","1,564.00","1,573.00","842"
06/15/2023,"1,579.90","1,579.90","1,564.00","1,572.98","13,686"
06/14/2023,"1,579.90","1,579.90","1,576.00","1,579.00","180"
06/13/2023,"1,575.00","1,579.90","1,571.00","1,579.88","1,095"
06/12/2023,"1,573.03","1,580.00","1,571.00","1,575.50","844"
06/09/2023,"1,580.00","1,580.00","1,573.00","1,573.03","1,244"
06/08/2023,"1,584.00","1,589.74","1,574.00","1,580.00","1,537"
06/07/2023,"1,576.00","1,583.50","1,569.00","1,583.50","862"
06/06/2023,"1,575.90","1,576.00","1,568.00","1,574.90","3,215"
06/05/2023,"1,577.00","1,579.90","1,568.00","1,575.75","3,229"
06/02/2023,"1,573.00","1,577.00","1,568.00","1,577.00","478"
06/01/2023,"1,575.00","1,575.00","1,568.00","1,573.98","933"
05/31/2023,"1,577.00","1,577.99","1,568.00","1,575.00","869"
05/30/2023,"1,577.95","1,578.00","1,568.00","1,575.00","1,399"
05/29/2023,"1,572.00","1,583.68","1,568.00","1,577.95","1,757"
05/26/2023,"1,575.00","1,583.00","1,570.00","1,572.00","1,756"
05/25/2023,"1,570.00","1,575.00","1,570.00","1,575.00","1,836"
05/24/2023,"1,580.65","1,580.65","1,565.00","1,578.00","224"
05/23/2023,"1,575.00","1,578.00","1,564.00","1,575.00","15,612"
05/22/2023,"1,578.00","1,578.00","1,570.00","1,575.00","1,749"
05/19/2023,"1,579.00","1,580.00","1,570.00","1,577.90","1,266"
05/18/2023,"1,580.60","1,585.69","1,570.00","1,578.97","1,257"
05/17/2023,"1,578.77","1,580.63","1,565.00","1,580.63","6,580"
05/16/2023,"1,578.98","1,578.98","1,567.04","1,577.98","1,956"
05/15/2023,"1,579.00","1,580.64","1,565.00","1,578.98","5,283"
05/12/2023,"1,570.00","1,578.95","1,567.00","1,578.94","482"
05/11/2023,"1,580.65","1,580.65","1,565.00","1,570.00","10,166"
05/10/2023,"1,611.00","1,626.59","1,583.00","1,608.00","48,725"
05/05/2023,"1,618.02","1,627.40","1,605.50","1,627.00","17,959"
05/04/2023,"1,608.50","1,620.00","1,602.07","1,620.00","17,141"
05/03/2023,"1,602.00","1,618.02","1,602.00","1,608.50","14,962"
05/02/2023,"1,618.02","1,618.02","1,602.00","1,602.00","10,826"
04/28/2023,"1,616.00","1,618.01","1,603.02","1,618.00","570"
04/27/2023,"1,602.00","1,617.77","1,602.00","1,616.98","488"
04/26/2023,"1,602.02","1,610.00","1,602.00","1,608.74","916"
04/25/2023,"1,604.00","1,614.95","1,592.00","1,600.00","2,126"
04/24/2023,"1,612.97","1,613.96","1,602.00","1,611.90","669"
04/21/2023,"1,605.95","1,611.95","1,602.00","1,602.03","494"
04/20/2023,"1,605.00","1,613.96","1,602.00","1,605.90","28,442"
04/19/2023,"1,603.00","1,611.09","1,602.00","1,605.00","11,327"
04/18/2023,"1,605.00","1,611.93","1,602.00","1,602.02","7,974"
04/17/2023,"1,604.06","1,612.93","1,602.00","1,605.00","8,942"
04/14/2023,"1,609.00","1,617.97","1,603.02","1,604.06","996"
04/13/2023,"1,607.00","1,615.86","1,602.00","1,609.00","1,339"
04/12/2023,"1,617.99","1,617.99","1,602.00","1,607.00","2,402"
04/11/2023,"1,614.00","1,618.00","1,608.00","1,617.98","1,015"
04/10/2023,"1,612.00","1,618.00","1,607.02","1,614.00","1,859"
04/07/2023,"1,618.00","1,618.01","1,607.46","1,613.00","1,678"
04/06/2023,"1,610.00","1,618.02","1,602.04","1,618.00","1,928"
04/05/2023,"1,603.02","1,618.00","1,602.06","1,615.00","1,677"
04/04/2023,"1,610.01","1,618.02","1,602.00","1,603.02","1,198"
04/03/2023,"1,618.00","1,618.02","1,602.00","1,610.00","1,389"
03/31/2023,"1,602.02","1,618.02","1,602.00","1,618.02","3,605"
03/30/2023,"1,602.03","1,618.02","1,602.00","1,603.01","1,480"
03/29/2023,"1,610.00","1,618.00","1,602.00","1,617.99","5,327"
03/28/2023,"1,605.00","1,610.00","1,602.00","1,610.00","7,115"
03/27/2023,"1,615.00","1,620.00","1,605.00","1,605.00","25,569"
03/24/2023,"1,619.00","1,622.00","1,615.00","1,615.00","1,521"
03/20/2023,"1,615.00","1,624.97","1,615.00","1,620.00","2,424"
03/17/2023,"1,623.00","1,625.00","1,615.00","1,615.00","470"
03/16/2023,"1,615.00","1,625.00","1,615.00","1,622.96","1,787"
03/15/2023,"1,617.00","1,618.00","1,615.00","1,615.05","720"
03/14/2023,"1,616.00","1,617.00","1,615.00","1,617.00","2,560"
